a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.1-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 48.0-1
adwaita-fonts 48.2-1
adwaita-icon-theme 48.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.1-1
alsa-lib 1.2.13-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
aom 3.12.0-1
appstream 1.0.4-1
aquamarine 0.8.0-1
archlinux-keyring 20250123-1
aribb24 1.0.3-4
at-spi2-core 2.56.1-1
atkmm 2.28.4-1
attica 6.12.0-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
b43-fwcutter 019-6
baloo 6.12.0-1
baloo-widgets 24.12.3-1
base 3-2
base-devel 1-2
bash 5.2.037-2
bc 1.08.1-1
binutils 2.44-1
bison 3.8.2-8
blueman 2.4.4-1
bluez 5.82-1
bluez-libs 5.82-1
bluez-utils 5.82-1
boost-libs 1.87.0-3
breeze-icons 6.12.0-1
brightnessctl 0.5.1-3
broadcom-wl 6.30.223.271-610
brotli 1.1.0-3
btop 1.4.0-5
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.110-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cava 0.10.4-3
cava-debug 0.10.4-1
cdparanoia 10.2-9
cifs-utils 7.3-1
clang 19.1.7-1
cliphist 1:0.6.1-1
cmake 4.0.0-1
compiler-rt 19.1.7-1
convertlit 1.8-12
coreutils 9.6-4
cppdap 1.58.0-2
cryptsetup 2.7.5-2
curl 8.13.0-1
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.11-2
discord 0.0.90-1
dolphin 24.12.3-1
dosfstools 4.2-5
double-conversion 3.3.1-1
dracula-gtk-theme v4.0.0-1
duktape 2.7.0-7
e2fsprogs 1.47.2-2
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
enchant 2.8.2-2
eog 47.0-1
exempi 2.6.5-1
exiv2 0.28.5-1
exo 4.20.0-2
expat 2.7.1-1
eza 0.21.0-1
faad2 2.11.2-1
fakeroot 1.37.1.1-1
fastfetch 2.40.3-1
ffmpeg 2:7.1-9
ffmpeg4.4 4.4.5-3
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
file 5.46-4
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 137.0-1
flac 1.5.0-1
flex 2.6.4-5
fmt 11.1.4-1
fontconfig 2:2.16.1-1
freeglut 3.6.0-1
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.17.1-1
fuse3 3.17.1-1
fzf 0.60.3-1
gawk 5.3.2-1
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr-4 4.4.0.1-1
gdb 16.2-1
gdb-common 16.2-1
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
geforcenow-electron 2.1.3-1
geforcenow-electron-debug 2.1.3-1
gettext 0.24-1
giflib 5.2.2-1
git 2.49.0-1
github-cli 2.69.0-1
